start,duration,text
647.22,1.71,"So that keeps it nice and symmetrical"
648.93,1.86,"like normal glasses should be."
650.79,3.18,"But that's the idea, this is about as much tech"
653.97,4.0,"as you can fit in a normal looking pair of glasses in 2023"
657.97,2.36,"without it starting to look weird"
660.33,1.14,"with the current tech we have,"
661.47,2.79,"but it's gonna be more and more and more stuff,"
664.26,2.1,"and still looking like this every year."
666.36,3.78,"So the question is, which side would you bet"
670.14,2.43,"gets mass adoption first?"
672.57,2.79,"And this is a question tech companies have to answer"
675.36,1.05,"before they start investing."
676.41,1.86,"Now Meta is invested in both."
678.27,2.4,"So maybe they win either way and they're involved."
680.67,2.34,"But if you're Snapchat, they've already tried,"
683.01,1.26,"just the smart glasses,"
684.27,1.71,"and maybe they'll keep doing that later."
685.98,2.22,"If you're Apple, they've clearly started with"
688.2,2.76,"Apple Vision Pro, and they're gonna try to miniaturize that"
690.96,1.93,"and shrink that year after year."
692.89,1.13,"But which side?"
694.02,2.01,"And what a time to be alive for all of this!"
696.03,2.37,"Cause the tech that we're gonna have on our faces"
698.4,3.51,"in 10, 20 years is gonna look insane"
701.91,1.2,"compared to what we have today."
703.11,2.099,"The same way that the tech we had 10 years ago"
705.209,2.881,"looks archaic compared to what we have now."
708.09,2.04,"So all that being said, I'll leave you with this;"
710.13,3.33,"One, Quest 3 for 500 bucks is awesome,"
713.46,1.62,"and if you're looking to get a VR headset"
715.08,1.685,"or a mixed reality headset at all,"
716.765,2.76,"no problem recommending this one, it's pretty sweet."
719.525,4.585,"Two, Apple's Vision Pro is still on track"
724.11,2.46,"to be released early 2024,"
726.57,1.35,"and I think it's gonna be pretty awesome."
727.92,1.38,"So make sure you get subscribed"
729.3,2.225,"to see the review of that when it happens."
731.525,4.345,"And three, I'm pretty sure we are barreling"
735.87,2.4,"towards this computer's on our faces future."
738.27,2.01,"At some point it does feel like it's picking up"
740.28,2.07,"that much steam and that much investment."
742.35,1.74,"So even if you don't believe"
744.09,1.95,"we're all gonna be wearing these on our faces"
746.04,3.06,"for a super long time, it probably won't be this,"
749.1,1.53,"it'll be something smaller,"
750.63,3.57,"and slowly we'll get more and more base computer time."
754.2,3.693,"So which side do you pick?"
759.03,1.44,"Thanks for watching."
760.47,1.29,"Catch you on the next one."
761.76,1.325,"Peace."
763.085,2.667,"(upbeat music)"
